@relation TrainingsetAROUSALeVALENZA

@attribute Gender {m,f}
@attribute PitchMin numeric
@attribute PitchMed numeric
@attribute PitchMax numeric
@attribute PitchMinMaxDiffLog numeric
@attribute PitchMinLog numeric
@attribute PitchMedLog numeric
@attribute PitchMaxLog numeric
@attribute PitchDevSta numeric
@attribute PitchSlope numeric
@attribute EnergyMin numeric
@attribute EnergyMed numeric
@attribute EnergyMax numeric
@attribute EnergyMinMaxDiff numeric
@attribute EnergyDevSta numeric
@attribute SpectrumCentralMoment numeric
@attribute SpectrumDevSta numeric
@attribute SpectrumGravityCentre numeric
@attribute SpectrumKurtosis numeric
@attribute SpectrumSkewness numeric
@attribute HarmonicityDevSta numeric
@attribute HarmonicityMax numeric
@attribute HarmonicityMed numeric
@attribute HarmonicityMin numeric
@attribute Arousal {High,Medium,Low}
@attribute Valenza {VeryNeg,Neutral,Positive,Negative}

@data
m,78.49496,136.1132,193.56428,115.06989,78.49496,133.69677,193.56485,25.26311,284.60904,37.81646,59.43665,84.69837,46.881912,14.09318,2032541142.33228,722.74004,712.36451,49.60263,5.38385,3.50886,31.85068,7.20502,-226.31997,High,VeryNeg
m,89.22333,111.2192,145.29553,56.11635,89.22449,110.38945,145.34084,13.86512,138.26131,36.9143,55.41989,71.54659,34.632294,11.28553,3583554137.26465,812.15008,461.65358,61.76941,6.68968,4.80766,32.36973,10.48569,-225.89549,Medium,Neutral
m,122.78506,177.85817,250.0291,127.24668,122.78506,175.12436,250.03174,32.03988,281.47243,38.86327,60.74891,74.02456,35.16129,11.95457,3785224182.26905,861.89615,541.1086,42.86324,5.9119,4.92021,35.96295,12.56084,-225.8415,High,Positive
m,93.32806,109.27485,219.80863,126.48029,93.32833,108.59203,219.80863,13.89954,133.4495,37.32899,56.49685,69.65437,32.325382,9.90424,1446769341.05367,549.85209,378.07261,118.17728,8.70285,4.54986,31.69791,13.79111,-225.89029,Low,Negative
m,95.47533,183.53635,219.93183,124.45659,95.47533,178.49869,219.93192,39.48543,464.69808,37.55652,59.1504,86.19058,48.634064,16.66601,1150950934.83935,709.54401,799.21496,17.06021,3.22195,3.42273,27.64606,6.0224,-225.71372,High,VeryNeg
m,84.97294,130.77196,198.67874,113.7054,84.97629,126.01398,198.68169,36.05543,266.22391,38.09019,53.25235,75.55521,37.465015,12.53319,1420433680.35138,666.23221,648.36881,41.15237,4.80335,2689,13.68908,8.18517,-226.21529,Medium,Neutral
m,140.97828,209.48545,264.89073,123.91243,140.97828,205.92042,264.89073,37.79167,275.86482,37.64493,58.70756,74.15279,36.507854,12.63394,1752745972.15656,627.16214,495.99778,74.69724,7.10525,4.45224,37.21675,14.52875,-226.36477,High,Positive
m,107.20099,127.88203,551.10753,443.9065,107.20105,125.09063,551.10753,43.35356,344.62722,37.40175,55.67242,67.90084,30.499092,10.74353,836854202.95528,371.3564,303.58204,482.97831,16.34094,5.25805,26.37882,15.87247,-226.30915,Low,Negative
m,78.16768,197.01603,266.11106,187.98036,78.16768,192.53572,266.14803,39.44671,506.2233,37.67397,61.09955,83.56959,45.89562,15.29286,9486342234.60087,1414.15811,1078.08401,13.67742,3.35432,4.79257,33.51607,5.14458,-225.96404,High,VeryNeg
m,77.48683,142.79023,230.02158,152.53484,77.48683,137.73742,230.02166,38.88909,279.62842,37.35931,59.24051,76.85754,39.498226,11.5673,16853385634.89596,1984.26926,1293.75223,3.72419,2.15717,4.3054,17.73627,6.54605,-226.04328,Medium,Neutral
m,138.05281,226.57044,274.09022,136.03339,138.05691,223.25675,274.09029,36.16581,333.57161,39.50001,65.02866,78.76264,39.26263,9.96934,11903160171.94072,1542.57767,984.55549,10.64112,3.24281,4.87494,33.69635,11.15661,-226.10552,High,Positive
m,111.78237,141.8209,583.3111,471.52866,111.78244,137.13881,583.3111,56.63892,976.09476,36.18449,59.23202,80.45901,44.274517,10.67809,4183421316.19898,919.85829,472.84051,36.03291,5.37488,5.53657,38.12485,13.90311,-226.46739,Low,Negative
m,85.91692,171.14918,239.26198,153.34464,85.91736,163.7442,239262,47.08678,307.14722,37.4442,61.35011,83.29389,45.849693,15.13695,16515459823.58388,1712.05092,1095.39436,10.48384,3.2911,4.05717,31.21603,7.3074,-225.70763,High,VeryNeg
m,98.83555,134.56463,199.77337,100.93761,98.83653,131.21668,199.77414,31.20679,184.15268,37.93912,58.74215,76.23771,38.298588,12.11772,13072586743.28479,1575.38127,979.54424,11.27882,3.34352,5.33186,22.18358,8.20567,-225.2874,Medium,Neutral
m,122.41817,190.62514,257.27357,134.85674,122.41817,185.99074,257.27491,41.56476,221.41762,35.13652,62.91649,77.45112,42.314598,13.53648,12625465703.93068,1545.72711,951.90828,13.01495,3.41861,4.98227,25.03994,11.33028,-225.8986,High,Positive
m,100.48354,135.08267,585.0288,484.54526,100.48354,128.8545,585.0288,67.26382,258.30341,36.42127,58.34942,70.31658,33.895313,11.02685,5908122779.91561,1018.22851,541.86109,37.45984,5.59646,7.0934,29.73965,13.23392,-225.62538,Low,Negative
m,89.34654,169.22441,226.21669,136.87097,89.34654,165.33951,226.21752,35.05397,302.91436,37.51851,62.16312,82.9914,45.472893,14.13455,4789192382.66116,1034.35674,913.22144,28.12104,4.32764,4.53028,36.85331,7.14004,-225.68523,High,VeryNeg
m,99.4197,131.22045,211.18124,111.761604,99.4197,128.66358,211.1813,27.75889,213.34672,36.94632,56.5859,74.02547,37.079147,10.80979,5759258919.4127,1096.91834,761.40497,25.54421,4.36359,6.1303,39.19236,8.53699,-226.33727,Medium,Neutral
m,136.28025,204.02617,560.40627,424126,136.28025,199.59689,560.40627,45.41618,599.78996,36.54744,63.76776,82.40371,45.85627,12.37476,6419078673.37682,1134.02846,755.92338,25.21149,4.4015,5.33303,40.9459,11.25745,-226.37288,High,Positive
m,99.85139,120.46659,136.58108,36.725754,99.85533,120.01866,136.58108,10.39421,106.34265,37.60125,57.66763,74.49131,36.89006,11.43048,2170155982.09046,685.83296,639.81454,79.83995,6.72722,5.86044,34.84096,11.66471,-226.30644,Low,Negative
m,85.11001,165.16296,226.99738,141.88757,85.11001,159.66284,226.99758,40.71385,416.76996,37.95438,63.73073,85.55895,47.604572,14.24868,2259674127.49251,738.12308,783.80979,50.69765,5.61901,3.62821,27.12861,6.79573,-226.0753,High,VeryNeg
m,84.12715,127.02103,210.07224,125.94508,84.12715,123.65742,210.07224,30.49553,213.6781,37.98374,58.44207,75.97471,37.990967,10.43216,17816624665.46191,2114.27785,1452.82074,2.28009,1.88512,5.19565,36.93431,7.98454,-226.43494,Medium,Neutral
m,142.20442,218.03329,277.68308,135.47737,142.20585,214.59934,277.68323,37.43985,284.06738,37.15511,62.48895,80.70436,43.54925,13.98547,2671653613.01702,755.83135,635.17854,54.60725,6.18736,3.54167,31.81131,12.28606,-226.09307,High,Positive
m,98.79628,126.86076,587.60443,488.80817,98.79628,123.12028,587.60443,50.53634,370.46078,37.62098,60.53605,73.08949,35.468513,11.04203,3890988132.50351,869.57733,519.45361,43.75341,5.91746,5.55807,34.57946,13.86153,-226.28559,Low,Negative
m,83.14985,166.2674,328.32689,245.17706,83.14985,158.72453,328.32689,51.92064,560.3633,37.59491,60.04947,84.3678,46.77289,15.49259,489516330.70873,443.30809,655.17831,63.01888,5.61889,4.37077,35.6591,7.38115,-226.11832,High,VeryNeg
m,92.63297,129.44385,205.85806,113.22349,92.63491,126.58036,205.8584,28.66771,178.73549,37.49129,57.64519,72.45792,34.966625,11.4105,660840139.54987,455.52485,531.84009,99.29844,6.99134,4.25108,24.78887,8.80251,-225.33529,Medium,Neutral
m,146.09707,204.21865,258.04795,111.94339,146.10511,202.05198,258.0485,29.14461,270.34429,36.74211,62.29819,79.11031,42.368202,13.47365,911112107.46991,501.68038,600.61891,83.29716,7.2159,4.61789,36.47053,13.8496,-226.33901,High,Positive
m,96.00405,118.9713,175.02479,79.01777,96.00735,117.96112,175.02512,16.31464,115.52766,35.97142,59.61121,72.52726,36.55584,9.2377,387402908.31693,347.57531,384.3082,222.70146,9.22606,4.71004,23.96818,15.32791,-226.67902,Low,Negative
m,86.43346,172.88975,285.9064,199.47331,86.43346,167.84755,285.90677,42.30362,347.95111,37.4218,65.68203,86.19991,48.778114,13.60876,9169091611.5168,1405.61052,1091.60001,13.42917,3.30165,4.2268,37.72055,6.36768,-226.28916,High,VeryNeg
m,88.53585,126.82025,230.99474,142.35683,88.63895,124.41036,230.99578,26.57412,250.75468,37.69104,60.0041,78.50451,40.81347,11.2953,12717021234.54219,1744582,1181.94185,5.43622,2.39503,4.53219,41.02577,7.10534,-226.10272,Medium,Neutral
